lat,name,rental_methods/0,rental_methods/1,rental_methods/2,has_kiosk,rental_uris/android,rental_uris/ios,region_id,station_type,legacy_id,electric_bike_surcharge_waiver,short_name,capacity,eightd_has_key_dispenser,lon,station_id,external_id,eightd_station_services/0/description,eightd_station_services/0/bikes_availability,eightd_station_services/0/service_type,eightd_station_services/0/id,eightd_station_services/0/docks_availability,eightd_station_services/0/name,eightd_station_services/0/off_dock_bikes_count,eightd_station_services/0/off_dock_remaining_bike_capacity,address,dockless_bikes_parking_zone_capacity,region_code,rack_model,client_station_id
41.78008063659,MLK Jr Dr & 63rd St,CREDITCARD,TRANSITCARD,KEY,True,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,,classic,430,False,KA1503000053,11,False,-87.6159428567,430,a3ada52f-a135-11e9-9cda-0a87ae2ba916,,,,,,,,,,,,,
41.78414169317,Eberhart Ave & 61st St,CREDITCARD,TRANSITCARD,KEY,True,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,,classic,431,False,KA1503000033,11,False,-87.6133078304,431,a3adaa52-a135-11e9-9cda-0a87ae2ba916,,,,,,,,,,,,,
41.87359967462,Kedzie Ave & Harrison St,CREDITCARD,TRANSITCARD,KEY,True,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,,classic,433,False,KA1504000082,11,False,-87.7048707493,433,a3adb48a-a135-11e9-9cda-0a87ae2ba916,,,,,,,,,,,,,
41.86649278172,Kedzie Ave & Roosevelt Rd,CREDITCARD,TRANSITCARD,KEY,True,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,,classic,435,False,15682,11,False,-87.7064961757,435,a3adbedf-a135-11e9-9cda-0a87ae2ba916,,,,,,,,,,,,,
41.866624,Fairfield Ave & Roosevelt Rd,CREDITCARD,TRANSITCARD,KEY,True,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,,classic,436,False,KA1504000102,11,False,-87.694521,436,a3adc3f6-a135-11e9-9cda-0a87ae2ba916,,,,,,,,,,,,,
41.86193049278259,Washtenaw Ave & Ogden Ave,CREDITCARD,TRANSITCARD,KEY,True,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,,classic,437,False,KA1504000109,15,False,-87.69345045089722,437,a3adc925-a135-11e9-9cda-0a87ae2ba916,,,,,,,,,,,,,
41.854063503874464,Central Park Ave & Ogden Ave,CREDITCARD,TRANSITCARD,KEY,True,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,,classic,438,False,15685,15,False,-87.71511733531952,438,a3adce47-a135-11e9-9cda-0a87ae2ba916,,,,,,,,,,,,,
41.85353363213,Kedzie Ave & 21st St,CREDITCARD,TRANSITCARD,KEY,True,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,,classic,439,False,15686,11,False,-87.7050730318,439,a3add365-a135-11e9-9cda-0a87ae2ba916,,,,,,,,,,,,,
41.8481,Central Park Ave & 24th St,CREDITCARD,TRANSITCARD,KEY,True,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,,classic,440,False,15687,11,False,-87.715068,440,a3add889-a135-11e9-9cda-0a87ae2ba916,,,,,,,,,,,,,
41.84819094491,Kedzie Ave & 24th St,CREDITCARD,TRANSITCARD,KEY,True,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,,classic,441,False,KA1504000086,11,False,-87.7054137458,441,a3addda0-a135-11e9-9cda-0a87ae2ba916,,,,,,,,,,,,,
